ID,title,numSpeakers
6VixqvOcK8E,Ben Shapiro: US commentator clashes with BBC's Andrew Neil - BBC News,2
eTcsiw9tE_c,Leftist vs Liberal vs Conservative vs MAGA | Middle Ground Debate,5
tYrdMjVXyNg,"Ben Shapiro vs Destiny Debate: Politics, Jan 6, Israel, Ukraine & Wokeism | Lex Fridman Podcast #410",3
WHLzNIGeQfA,Charlie Kirk vs Hasan Piker,3
Js15xgK4LIE,20 Trump Supporters Take on 1 Progressive (feat. Sam Seder) | Surrounded,21
aGZkJblXx4w,INSANITY: Charlie Kirk Debates 25 Woke College Students,26
QK-liQhqPjs,1 Republican vs. 25 Kamala Harris Voters (Feat. Ben Shapiro) | Surrounded,26
Pwk5MPE_6zE,Jordan Peterson vs 20 Atheists | Surrounded,21
VpK8CoWBnq8,1 Atheist vs 25 Christians (feat. Alex O'Connor) | Surrounded,26
WV29R1M25n8,Can 25 Liberal College Students Outsmart 1 Conservative? (feat. Charlie Kirk) | Surrounded,26
UyzbSeVBxvk,1 Conservative vs 20 Feminists (Ft. Candace Owens),21
,"This debate got personal, fast. Mehdi Hasan faces the far-right on #surrounded #opusxjubilee",3
